model,model_label,max_private_risk,final_payoff_ci95_high,prize_ci95_high,safety_ci95_high,setback_rate_ci95_high,stage_payoff_ci95_high,tie_rate_ci95_high,final_payoff_ci95_low,prize_ci95_low,safety_ci95_low,setback_rate_ci95_low,stage_payoff_ci95_low,tie_rate_ci95_low,final_payoff_estimate,prize_estimate,safety_estimate,setback_rate_estimate,stage_payoff_estimate,tie_rate_estimate,final_payoff_n_blocks,prize_n_blocks,safety_n_blocks,setback_rate_n_blocks,stage_payoff_n_blocks,tie_rate_n_blocks
google/gemini-3-flash-preview,Gemini 3 Flash,0.1,72.2,50.0,0.0,0.25,22.8,1.0,50.8,50.0,0.0,0.0,14.8,1.0,62.6,50.0,0.0,0.1,18.6,1.0,10,10,10,10,10,10
google/gemini-3-flash-preview,Gemini 3 Flash,0.6,48.15324999999995,50.0,0.31145017829392824,0.65,20.05,1.0,14.969999999999999,50.0,0.2454563561438561,0.25,12.6,0.4,31.310000000000002,50.0,0.2765172327672328,0.45,16.15,0.7,10,10,10,10,10,10
google/gemini-3-flash-preview,Gemini 3 Flash,0.9,36.0605,50.0,0.5141282051282051,0.65,17.95,1.0,13.36975,50.0,0.4042920412920412,0.35,11.25,0.4,24.79,50.0,0.46102196414696406,0.5,14.45,0.7,10,10,10,10,10,10
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.1,72.2,50.0,0.0,0.25,22.6,1.0,50.8,50.0,0.0,0.0,14.8,1.0,62.6,50.0,0.0,0.1,18.6,1.0,10,10,10,10,10,10
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.6,45.80024999999999,50.0,0.2269257756132756,0.75,20.6,1.0,11.9385,50.0,0.1746374771062271,0.25,13.2,0.4,28.310000000000002,50.0,0.1988875013875014,0.5,16.75,0.7,10,10,10,10,10,10
google/gemini-3.1-flash-lite-preview,Gemini 3.1 Flash-Lite,0.9,40.94024999999999,50.0,0.33222402597402595,0.75,19.6,1.0,9.69875,50.0,0.26983405483405487,0.35,12.45,0.4,24.36,50.0,0.3005605505605506,0.55,15.85,0.7,10,10,10,10,10,10
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.1,69.85,50.0,0.2149456376956376,0.25,20.6,1.0,49.9,50.0,0.1012087912087912,0.0,13.7,0.7,61.0,50.0,0.1619537407037407,0.1,16.95,0.9,10,10,10,10,10,10
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.6,54.28049999999999,50.0,0.34562090340215335,0.55,18.9,0.9,21.84975,50.0,0.23633028429903427,0.15,12.798750000000002,0.3,38.160000000000004,50.0,0.29233835608835607,0.35,15.7,0.6,10,10,10,10,10,10
google/gemini-3.5-flash-lite,Gemini 3.5 Flash-Lite,0.9,47.65,50.0,0.4054166666666667,0.75,18.351249999999983,1.0,16.69875,50.0,0.3373430735930736,0.25,12.1,0.5,32.45,50.0,0.3740279165279165,0.5,15.1,0.8,10,10,10,10,10,10
gpt-5-nano,GPT-5 nano,0.1,62.601249999999986,50.0,0.9307775696525697,0.0,12.6,1.0,58.3,50.0,0.8267555187867687,0.0,8.25,0.5,60.4,50.0,0.8769613719613719,0.0,10.4,0.8,10,10,10,10,10,10
gpt-5-nano,GPT-5 nano,0.6,62.0,50.0,0.9169966422466423,0.25,12.35,0.9,32.25,50.0,0.7836590354090355,0.0,8.65,0.4,49.71,50.0,0.8486630036630037,0.1,10.45,0.7,10,10,10,10,10,10
gpt-5-nano,GPT-5 nano,0.9,61.0,50.0,0.9163578088578088,0.25,12.55,0.8,39.335,50.0,0.7925796703296704,0.0,8.5,0.2,51.879999999999995,50.0,0.8549292374292374,0.1,10.5,0.5,10,10,10,10,10,10
gpt-5.4-nano,GPT-5.4 nano,0.1,68.2,50.0,0.4811151556776557,0.0,18.2,0.0,61.5,50.0,0.36806250000000007,0.0,11.55,0.0,64.75,50.0,0.42305860805860807,0.0,14.75,0.0,10,10,10,10,10,10
gpt-5.4-nano,GPT-5.4 nano,0.6,61.851249999999986,50.0,0.5658760683760684,0.35,16.7,0.5,30.09925,50.0,0.4438091491841492,0.05,11.0,0.0,46.589999999999996,50.0,0.5043230380730381,0.2,13.85,0.2,10,10,10,10,10,10
gpt-5.4-nano,GPT-5.4 nano,0.9,41.390249999999995,50.0,0.4700589601370852,0.5,17.75,0.3,7.059,50.0,0.3935381718975469,0.2,11.6,0.0,23.82,50.0,0.4332254551004551,0.35,14.55,0.1,10,10,10,10,10,10
