max_private_risk,focal_strategy,opponent_strategy,expected_total_payoff
0.1,AS,AS,58.99999999998884
0.1,AS,AU,5.399999999993306
0.1,AS,CS,58.99999999998884
0.1,AS,CAS,8.59999999998885
0.1,AU,AS,109.43999999997592
0.1,AU,AU,61.19999999997993
0.1,AU,CS,106.55999999997998
0.1,AU,CAS,61.19999999997993
0.1,CS,AS,58.99999999998884
0.1,CS,AU,16.599999999977694
0.1,CS,CS,58.99999999998884
0.1,CS,CAS,33.79259259257589
0.1,CAS,AS,108.96088596673573
0.1,CAS,AU,61.19999999997993
0.1,CAS,CS,86.75324903922504
0.1,CAS,CAS,61.19999999997993
0.6,AS,AS,58.99999999998884
0.6,AS,AU,5.399999999993306
0.6,AS,CS,58.99999999998884
0.6,AS,CAS,8.59999999998885
0.6,AU,AS,48.63999999998931
0.6,AU,AU,27.199999999991082
0.6,AU,CS,47.35999999999108
0.6,AU,CAS,27.199999999991082
0.6,CS,AS,58.99999999998884
0.6,CS,AU,16.599999999977694
0.6,CS,CS,58.99999999998884
0.6,CS,CAS,26.644444444430192
0.6,CAS,AS,101.76531580047005
0.6,CAS,AU,27.199999999991082
0.6,CAS,CS,61.630605346542495
0.6,CAS,CAS,27.199999999991082
0.9,AS,AS,58.99999999998884
0.9,AS,AU,5.399999999993306
0.9,AS,CS,58.99999999998884
0.9,AS,CAS,8.59999999998885
0.9,AU,AS,12.159999999997325
0.9,AU,AU,6.799999999997768
0.9,AU,CS,11.839999999997767
0.9,AU,CAS,6.799999999997768
0.9,CS,AS,58.99999999998884
0.9,CS,AU,16.599999999977694
0.9,CS,CS,58.99999999998884
0.9,CS,CAS,22.35555555554278
0.9,CAS,AS,97.44797370071059
0.9,CAS,AU,6.799999999997768
0.9,CAS,CS,46.55701913093293
0.9,CAS,CAS,6.799999999997768
