layer,evidence_class,condition,target_feature_id,alpha,n,mean_delta_unsafe_log_odds,median_delta_unsafe_log_odds,action_flip_rate
12,heldout_causal_intervention,matched_random,2660,-2.0,32,-0.00781263322585346,-6.31698640063405e-08,0.0
12,heldout_causal_intervention,matched_random,2660,-1.0,32,-0.003906384111587613,-3.5762786865234375e-07,0.0
12,heldout_causal_intervention,matched_random,2660,1.0,32,-0.015624951111931296,-2.9801594791933894e-07,0.0
12,heldout_causal_intervention,matched_random,2660,2.0,32,0.031249878218318372,1.7882848624140024e-07,0.0
12,heldout_causal_intervention,matched_random,3930,-2.0,32,0.031250062415324464,5.362853698898107e-07,0.0
12,heldout_causal_intervention,matched_random,3930,-1.0,32,-1.8755338260234566e-07,-5.960464477539063e-08,0.0
12,heldout_causal_intervention,matched_random,3930,1.0,32,0.015624783001044307,0.0,0.0
12,heldout_causal_intervention,matched_random,3930,2.0,32,0.015624803135096954,-5.939546099398285e-08,0.0
12,heldout_causal_intervention,matched_random,22035,-2.0,32,0.04687486287025422,4.770408850163221e-07,0.0
12,heldout_causal_intervention,matched_random,22035,-1.0,32,0.015624883599116401,-2.363522071391344e-07,0.0
12,heldout_causal_intervention,matched_random,22035,1.0,32,0.031249955975340526,4.153698682785034e-07,0.0
12,heldout_causal_intervention,matched_random,22035,2.0,32,-0.007812702648038794,-2.980232238769531e-07,0.0
12,heldout_causal_intervention,sae_reconstruction,,,32,0.007812217839045843,-2.386877895332873e-07,0.0
12,heldout_causal_intervention,target_feature,2660,-2.0,32,-0.02734367928201209,1.7881393432617188e-07,0.0
12,heldout_causal_intervention,target_feature,2660,-1.0,32,0.015624880174414102,-1.1966039892286062e-07,0.0
12,heldout_causal_intervention,target_feature,2660,1.0,32,0.015624937085021884,3.501754690660164e-07,0.0
12,heldout_causal_intervention,target_feature,2660,2.0,32,-0.019531305088889894,-2.980232238769531e-07,0.0
12,heldout_causal_intervention,target_feature,3930,-2.0,32,-1.9505318960000295e-07,-2.980232238769531e-07,0.0
12,heldout_causal_intervention,target_feature,3930,-1.0,32,0.007812382283532315,-5.959918780717999e-08,0.0
12,heldout_causal_intervention,target_feature,3930,1.0,32,0.019531220620365275,5.960464477539063e-08,0.0
12,heldout_causal_intervention,target_feature,3930,2.0,32,0.02734358901818723,5.2386894822120667e-08,0.0
12,heldout_causal_intervention,target_feature,22035,-2.0,32,0.031249987992623574,1.7881393432617188e-07,0.0
12,heldout_causal_intervention,target_feature,22035,-1.0,32,-0.003906296046693569,-5.934271030128002e-08,0.0
12,heldout_causal_intervention,target_feature,22035,1.0,32,0.0156250369090003,2.351662260480225e-07,0.0
