layer,split,n,normalized_mse,mean_cosine_similarity,mean_l0
4,eval,120,9.061222083773724e-05,0.9999587272604308,13273.541666666666
4,train,480,8.945203619854263e-05,0.9999590774377188,13273.458333333334
12,eval,120,0.0001874003583881,0.9999312803149224,17943.583333333332
12,train,480,0.0001983635670717,0.9999275336662928,17943.435416666667
18,eval,120,3.087335292544212e-05,0.9999872202674548,17958.166666666668
18,train,480,2.346267687747007e-05,0.9999900080263616,17958.0625
20,eval,120,0.0001380116592854,0.9999445502956708,17751.958333333332
20,train,480,0.0001258381497203,0.9999494042247534,17752.258333333335
25,eval,120,0.0008708025379629,0.9997696285446483,17008.583333333332
25,train,480,0.0008503984420231,0.9997752049316962,17008.720833333333
