feature,perm_importance,perm_importance_std
cat__prompt_template_hash_06c7ab6ad6d6,5.551115123125783e-17,5.551115123125783e-17
cat__seat_persona_role_risk-seeking,2.7755575615628914e-17,4.8074067159589095e-17
cat__persona_condition_R+,2.7755575615628914e-17,4.8074067159589095e-17
num__max_private_risk,2.7755575615628914e-17,4.8074067159589095e-17
num__rep,2.7755575615628914e-17,4.8074067159589095e-17
cat__run_treatment_Rplus_risk_seeking,2.7755575615628914e-17,4.8074067159589095e-17
cat__run_treatment_persona_baseline_adv_adv,2.7755575615628914e-17,4.8074067159589095e-17
cat__persona_condition_S_CA,2.7755575615628914e-17,4.8074067159589095e-17
prompt__workable,1.850371707708594e-17,4.137556922078789e-17
cat__run_treatment_google-gemini-3.1-flash-lite-preview,1.850371707708594e-17,4.137556922078788e-17
prompt__ahead,1.850371707708594e-17,4.137556922078789e-17
prompt__ahead alone,1.850371707708594e-17,4.137556922078789e-17
num__attempts,1.850371707708594e-17,4.1375569220787883e-17
prompt__alone,1.850371707708594e-17,4.137556922078789e-17
prompt__workable understanding,1.850371707708594e-17,4.137556922078789e-17
prompt__would,1.850371707708594e-17,4.137556922078789e-17
prompt__would much,1.850371707708594e-17,4.137556922078789e-17
prompt__firms,1.850371707708594e-17,4.137556922078789e-17
cat__run_group_lane_b,1.850371707708594e-17,4.137556922078789e-17
cat__run_treatment_R0_neutral,1.850371707708594e-17,4.137556922078788e-17
cat__run_treatment_S_AC_adv_coop,1.850371707708594e-17,4.1375569220787883e-17
prompt__believes rival,1.850371707708594e-17,4.137556922078789e-17
prompt__come,1.850371707708594e-17,4.137556922078789e-17
cat__lane_lane_b,1.850371707708594e-17,4.137556922078789e-17
prompt__come out,1.850371707708594e-17,4.137556922078789e-17
cat__model_google/gemini-3-flash-preview,1.850371707708594e-17,4.1375569220787883e-17
cat__model_google/gemini-3.1-flash-lite-preview,1.850371707708594e-17,4.137556922078788e-17
cat__seat_persona_role_adversarial,1.850371707708594e-17,4.137556922078789e-17
prompt__who believes,1.850371707708594e-17,4.137556922078789e-17
prompt__expense,1.850371707708594e-17,4.137556922078789e-17
prompt__expense and,1.850371707708594e-17,4.137556922078789e-17
num__retry_count,1.850371707708594e-17,4.137556922078789e-17
prompt__much,1.850371707708594e-17,4.137556922078789e-17
prompt__much rather,1.850371707708594e-17,4.137556922078789e-17
prompt__other expense,1.850371707708594e-17,4.137556922078789e-17
prompt__out,1.850371707708594e-17,4.137556922078789e-17
prompt__out ahead,1.850371707708594e-17,4.137556922078789e-17
prompt__payoff 12,1.850371707708594e-17,4.137556922078789e-17
prompt__understanding,1.850371707708594e-17,4.137556922078789e-17
prompt__rather,1.850371707708594e-17,4.137556922078789e-17
prompt__reach,1.850371707708594e-17,4.137556922078789e-17
prompt__rival,1.850371707708594e-17,4.137556922078789e-17
prompt__believes,1.850371707708594e-17,4.137556922078789e-17
prompt__10 your,1.850371707708594e-17,4.137556922078788e-17
prompt__rival firms,1.850371707708594e-17,4.137556922078789e-17
prompt__who would,1.850371707708594e-17,4.137556922078789e-17
cat__persona_condition_R0,9.25185853854297e-18,3.0684943385792895e-17
cat__prompt_template_hash_412501ee30d4,9.25185853854297e-18,3.0684943385792895e-17
num__prompt_chars,9.25185853854297e-18,3.0684943385792895e-17
cat__run_treatment_persona_baseline_adv_coop,9.25185853854297e-18,3.0684943385792895e-17
num__progress_gap_before,9.25185853854297e-18,3.0684943385792895e-17
num__own_stage_payoff_before,9.25185853854297e-18,3.0684943385792895e-17
num__own_private_risk_before,9.25185853854297e-18,3.0684943385792895e-17
