model,persona_condition,prompt_version,protocol_signature,run_phase,run_status,factor,level_left,level_right,n_comparisons_in_stratum,n_left,n_right,mean_left,mean_right,t,df,p_value,cohens_d,p_value_bonferroni
google/gemini-3-flash-preview,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.40938492063492066,0.0,16.681626513966368,19.0,8.37380938023572e-13,5.2751934860388365,2.512142814070716e-12
google/gemini-3-flash-preview,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.40938492063492066,0.0,16.681626513966368,19.0,8.37380938023572e-13,5.2751934860388365,2.512142814070716e-12
google/gemini-3-flash-preview,R-,ai-race-fairgame-v3,67d449c87677f4559ad1ad1ecc889a432c22dcb52f94a391fdb126778992df2e,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.0,0.0,,,,,
google/gemini-3-flash-preview,R0,ai-race-fairgame-v3,f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.9916666666666668,0.6685714285714285,9.702390960923639,20.160588884167332,4.85864129602469e-09,3.0681654185948437,1.4575923888074069e-08
google/gemini-3-flash-preview,R0,ai-race-fairgame-v3,f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.9916666666666668,0.5881944444444445,16.939817856085345,21.33023670583712,7.506434402476995e-14,5.3568407573620105,2.2519303207430987e-13
google/gemini-3-flash-preview,R0,ai-race-fairgame-v3,f6295d19b4449e411409e723e404dd654f86e04c1e17efe2c71d2a8cda3e5941,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.6685714285714285,0.5881944444444445,2.002903742257819,34.13841017197903,0.053179434721595566,0.6333737759609547,0.1595383041647867
google/gemini-3-flash-preview,S_AA,ai-race-fairgame-v3,f55db946320bb74f1d8d014e335e7cfffec4178e6a614d8700d0046fa6894a0c,pilot,completed,max_private_risk,0.1,0.6,3,6,6,1.0,1.0,,,,,
google/gemini-3-flash-preview,S_AA,ai-race-fairgame-v3,f55db946320bb74f1d8d014e335e7cfffec4178e6a614d8700d0046fa6894a0c,pilot,completed,max_private_risk,0.1,0.9,3,6,6,1.0,0.9444444444444445,1.5811388300841875,5.0,0.17468781426411972,0.9128709291752756,0.5240634427923592
google/gemini-3-flash-preview,S_AA,ai-race-fairgame-v3,f55db946320bb74f1d8d014e335e7cfffec4178e6a614d8700d0046fa6894a0c,pilot,completed,max_private_risk,0.6,0.9,3,6,6,1.0,0.9444444444444445,1.5811388300841875,5.0,0.17468781426411972,0.9128709291752756,0.5240634427923592
google/gemini-3-flash-preview,S_AC,ai-race-fairgame-v3,e4b363cb23e7f51f4cb6e8cd54b83e012551e2d98a0913bef425397b88630537,pilot,completed,max_private_risk,0.1,0.6,3,6,6,0.2638888888888889,0.24305555555555555,0.1570271767770642,8.364466078032603,0.8789479251678676,0.09065968278232496,1.0
google/gemini-3-flash-preview,S_AC,ai-race-fairgame-v3,e4b363cb23e7f51f4cb6e8cd54b83e012551e2d98a0913bef425397b88630537,pilot,completed,max_private_risk,0.1,0.9,3,6,6,0.2638888888888889,0.09027777777777778,1.437161408728654,6.464150474539226,0.1972588408173669,0.8297455261984301,0.5917765224521007
google/gemini-3-flash-preview,S_AC,ai-race-fairgame-v3,e4b363cb23e7f51f4cb6e8cd54b83e012551e2d98a0913bef425397b88630537,pilot,completed,max_private_risk,0.6,0.9,3,6,6,0.24305555555555555,0.09027777777777778,1.851421626658838,8.366108295008225,0.09963204012124813,1.0689187745349749,0.29889612036374436
google/gemini-3-flash-preview,S_CA,ai-race-fairgame-v3,9bf504edfff3529d855847b1be178f557fc511c4e10b2b2d764e7ce286072f8f,pilot,completed,max_private_risk,0.1,0.6,3,6,6,0.5208333333333334,0.20138888888888887,2.8036274528728375,9.99964675622868,0.01867855321381417,1.6186750646235573,0.056035659641442505
google/gemini-3-flash-preview,S_CA,ai-race-fairgame-v3,9bf504edfff3529d855847b1be178f557fc511c4e10b2b2d764e7ce286072f8f,pilot,completed,max_private_risk,0.1,0.9,3,6,6,0.5208333333333334,0.11805555555555554,4.033227561742197,9.204388535536326,0.002825649660131796,2.3285850184748758,0.008476948980395388
google/gemini-3-flash-preview,S_CA,ai-race-fairgame-v3,9bf504edfff3529d855847b1be178f557fc511c4e10b2b2d764e7ce286072f8f,pilot,completed,max_private_risk,0.6,0.9,3,6,6,0.20138888888888887,0.11805555555555554,0.8312513980476893,9.177217971647558,0.4269294007690931,0.47992321842708613,1.0
