model,persona_condition,prompt_version,protocol_signature,run_phase,run_status,factor,level_left,level_right,n_comparisons_in_stratum,n_left,n_right,mean_left,mean_right,t,df,p_value,cohens_d,p_value_bonferroni
gpt-5-nano,R+,ai-race-fairgame-v3,b33fdc8b55d4dbe70a50d073c1df939b6026ae9807dbbdaf60d10362342736db,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.42861111111111116,0.38091269841269837,0.7369343033100288,36.661656745818235,0.46585244283992255,0.23303908843690527,1.0
gpt-5-nano,R+,ai-race-fairgame-v3,b33fdc8b55d4dbe70a50d073c1df939b6026ae9807dbbdaf60d10362342736db,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.42861111111111116,0.43105158730158727,-0.033037246703107634,33.2282081069119,0.9738425433720694,-0.010447294720270872,1.0
gpt-5-nano,R+,ai-race-fairgame-v3,b33fdc8b55d4dbe70a50d073c1df939b6026ae9807dbbdaf60d10362342736db,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.38091269841269837,0.43105158730158727,-0.6338432302177099,36.50233010015234,0.5301352673567994,-0.2004388286966427,1.0
gpt-5-nano,R-,ai-race-fairgame-v3,5f15793a13f7e4526ab316ee4339dc47dfd90790ea75542cee4ff3992a4f3cab,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.04928571428571428,0.08428571428571427,-1.3592830222959977,37.69858700054265,0.18213314299336458,-0.4298430335252791,0.5463994289800937
gpt-5-nano,R-,ai-race-fairgame-v3,5f15793a13f7e4526ab316ee4339dc47dfd90790ea75542cee4ff3992a4f3cab,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.04928571428571428,0.04345238095238095,0.23861920339029316,36.41522140145052,0.8127386451720452,0.0754580176168299,1.0
gpt-5-nano,R-,ai-race-fairgame-v3,5f15793a13f7e4526ab316ee4339dc47dfd90790ea75542cee4ff3992a4f3cab,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.08428571428571427,0.04345238095238095,1.7599051338609109,37.447529161206454,0.08659124684894269,0.5565308688824,0.25977374054682806
gpt-5-nano,R0,ai-race-fairgame-v3,ce2572ed7d6c65c40f8bcee90f0e86899a1ed8b6732f58a717bf0774e3814209,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.0,0.0,,,,,
gpt-5-nano,R0,ai-race-fairgame-v3,ce2572ed7d6c65c40f8bcee90f0e86899a1ed8b6732f58a717bf0774e3814209,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.0,0.05083333333333333,-2.56700676289659,19.0,0.01886532360958759,-0.8117588139809033,0.05659597082876276
gpt-5-nano,R0,ai-race-fairgame-v3,ce2572ed7d6c65c40f8bcee90f0e86899a1ed8b6732f58a717bf0774e3814209,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.0,0.05083333333333333,-2.56700676289659,19.0,0.01886532360958759,-0.8117588139809033,0.05659597082876276
gpt-5-nano,R1-R1,ai-race-fairgame-v3,28932989a4ce8dbaef4df00f5fbb34fc8506f9799753e1880dcce9f2d8ff02ee,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.025,0.0,1.0000000000000002,19.0,0.3298768009211252,0.316227766016838,0.9896304027633755
gpt-5-nano,R1-R1,ai-race-fairgame-v3,28932989a4ce8dbaef4df00f5fbb34fc8506f9799753e1880dcce9f2d8ff02ee,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.025,0.0125,0.44721359549995804,27.94117647058823,0.6581685181601696,0.14142135623730953,1.0
gpt-5-nano,R1-R1,ai-race-fairgame-v3,28932989a4ce8dbaef4df00f5fbb34fc8506f9799753e1880dcce9f2d8ff02ee,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.0,0.0125,-1.0000000000000002,19.0,0.3298768009211252,-0.316227766016838,0.9896304027633755
gpt-5-nano,R1-R2,ai-race-fairgame-v3,cd7731c0357528df12e9c019e5c38926db31562198e17cbbdb7f58aab6936176,pilot,completed,max_private_risk,0.1,0.6,3,20,20,0.0,0.0,,,,,
gpt-5-nano,R1-R2,ai-race-fairgame-v3,cd7731c0357528df12e9c019e5c38926db31562198e17cbbdb7f58aab6936176,pilot,completed,max_private_risk,0.1,0.9,3,20,20,0.0,0.015476190476190477,-1.4482133861268585,19.0,0.16385928600417463,-0.4579652838105768,0.49157785801252385
gpt-5-nano,R1-R2,ai-race-fairgame-v3,cd7731c0357528df12e9c019e5c38926db31562198e17cbbdb7f58aab6936176,pilot,completed,max_private_risk,0.6,0.9,3,20,20,0.0,0.015476190476190477,-1.4482133861268585,19.0,0.16385928600417463,-0.4579652838105768,0.49157785801252385
